company_id,Market Cap,Ent. Value,Shares Offered,Sector,Industry,Employees,Founded,IPO Price,Current,Price Target,PT Upside (%),Beta (5Y),Return,Volume,Avg. Volume,Shares,Float,Shares Insiders,Shares Institut.,Revenue,Rev. Growth,Gross Profit,Op. Income,Net Income,EPS,EBIT,PS Ratio,PB Ratio,CapEx,Operating CF,FCF,FCF / Share,Investing CF,Financing CF,Working Capital,Net Cash,Total Cash,Total Debt,Equity,Debt / Equity,Assets,Liabilities,Asset Turnover,Inv. Turnover,Current Ratio,Quick Ratio,Gross Margin,Oper. Margin,Profit Margin,FCF Margin,ROE,ROA,ROIC,high_risk_pred,high_risk_proba,Company Name
2358,414180831.0,1340568831.0,10420000.0,Financials,Banks - Regional,491.0,1999.0,14.5,13.65,17.25,0.264,,-0.059,99321.0,159388.0,30342918.0,,,,187466000.0,,187466000.0,72876000.0,47162000.0,1.83,72876000.0,2.21,0.9,-1052000.0,19809000.0,18757000.0,0.73,-458235000.0,462831000.0,,-926388000.0,376295000.0,1302683000.0,462490000.0,2.82,5224011000.0,4761521000.0,0.04,,,,1.0,0.389,0.252,0.1,0.106,0.009,0.031,0,0.022674221968055658,"Northpointe Bancshares, Inc."
2359,254519240.0,,20000000.0,Financials,Shell Companies,,2024.0,10.0,9.92,,,,-0.008,4246.0,4272.0,25174999.0,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02027068932197822,Artius II Acquisition Inc.
2360,184849238.0,111965238.0,5888000.0,Healthcare,Biotechnology,22.0,2017.0,16.0,8.0,31.5,2.938,,-0.5,93383.0,130076.0,21695920.0,18389495.0,0.24,0.249,,,,-22785000.0,-20588000.0,-5.15,-20588000.0,,,-109000.0,-18087000.0,-18196000.0,-4.55,-11998000.0,81991000.0,69210000.0,72884000.0,73663000.0,779000.0,-54643000.0,,77507000.0,5394000.0,,,15.05,,,,,,,-0.468,,0,0.021016747115753215,"Aardvark Therapeutics, Inc."
2361,4452961937.0,4889300063.0,,Industrials,Aerospace & Defense,1113.0,2020.0,22.0,33.69,39.5,0.172,,0.531,567086.0,1203602.0,132174590.0,,,,345251064.0,,132111084.0,63559749.0,12701039.0,0.08,65061905.0,12.9,22.72,-14945723.0,26645535.0,11699812.0,0.07,-46236162.0,25665687.0,87105281.0,-436338126.0,11529770.0,447867896.0,195996367.0,2.29,773960496.0,577964129.0,0.47,,1.76,0.58,0.383,0.184,0.037,0.034,0.067,0.017,0.088,0,0.07288412031656046,Karman Holdings Inc.
2362,78845125.0,,7500000.0,Financials,Shell Companies,,2024.0,10.0,10.19,,,,0.001,1700.0,917.0,7737500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.020391120528190174,Maywood Acquisition Corp.
2363,9088869358.0,9992043358.0,60000000.0,Technology,Software - Application,2738.0,2005.0,23.0,16.33,25.88,0.585,,-0.29,996403.0,1819204.0,556574976.0,,,,861611000.0,0.739,555878000.0,-188734000.0,-1080379000.0,-12.91,-189977000.0,10.55,,-13567000.0,-106391000.0,-119958000.0,-1.43,-28944000.0,41257000.0,-62311000.0,-903174000.0,121293000.0,1024467000.0,-5588440000.0,,7411916000.0,1804215000.0,0.12,,0.89,0.65,0.645,-0.219,-1.254,-0.139,,-0.144,,0,0.03328606968137112,"SailPoint, Inc."
2364,20943343.0,27085343.0,1667000.0,Communication Services,Broadcasting,38.0,2011.0,6.0,0.73,8.0,10.111,,-0.88,258785.0,1815447.0,28693441.0,,,,3504000.0,,2852000.0,-2728000.0,-2968000.0,-0.12,-2758000.0,5.98,,-1037000.0,-2485000.0,-3522000.0,-0.14,-1037000.0,3213000.0,-5735000.0,-6142000.0,48000.0,6190000.0,-1600000.0,,6424000.0,8024000.0,0.63,,0.24,0.07,0.814,-0.778,-0.847,-1.005,,-0.53,-0.594,0,0.02454686323722187,"TEN Holdings, Inc."
2365,8468188.0,8972192.0,,Consumer Discretionary,Leisure,47.0,2014.0,4.0,0.61,,,,-0.848,193509.0,1120357.0,13880000.0,,,,3298361.0,0.096,1688925.0,-182032.0,-183700.0,-0.02,-137214.0,2.57,7.92,-126679.0,89676.0,-37003.0,0.0,-133457.0,-145371.0,-2278241.0,-504004.0,463920.0,967924.0,1069464.0,0.91,5211893.0,4142429.0,0.66,27.95,0.33,0.14,0.512,-0.055,-0.056,-0.011,-0.159,-0.037,-0.089,0,0.021175045873635046,Aureus Greenway Holdings Inc.
2366,259195900.0,,20000000.0,Financials,Shell Companies,,2024.0,10.0,9.98,,,,-0.002,0.0,7507.0,25765000.0,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02097446807540236,Archimedes Tech SPAC Partners II Co.
2367,577588304.0,438837304.0,10588233.0,Healthcare,Biotechnology,41.0,2019.0,18.0,13.09,32.0,1.445,,-0.273,104320.0,167846.0,44124393.0,,,,,,,-70556000.0,-61688000.0,-15.99,-61688000.0,,,-27000.0,-52787000.0,-52814000.0,-13.69,-126913000.0,178967000.0,140573000.0,138751000.0,148500000.0,9749000.0,-163713000.0,,185752000.0,19097000.0,,,14.49,,,,,,,-0.519,,0,0.021745805386539006,"Sionna Therapeutics, Inc."
